institute,branch,seat_type,gender,or,cr,year,course,course_id
Indian Institute  of Technology Kanpur,"Chemistry (4 Years, Bachelor of Science)",OPEN,neutral,4814,6084,2016,"Indian Institute  of Technology Kanpur_Chemistry (4 Years, Bachelor of Science)",103
Indian Institute  of Technology Kanpur,"Civil Engineering (4 Years, Bachelor of Technology)",OPEN,neutral,1571,3333,2016,"Indian Institute  of Technology Kanpur_Civil Engineering (4 Years, Bachelor of Technology)",104
Indian Institute  of Technology Kanpur,"Computer Science and Engineering (4 Years, Bachelor of Technology)",OPEN,neutral,113,230,2016,"Indian Institute  of Technology Kanpur_Computer Science and Engineering (4 Years, Bachelor of Technology)",105
Indian Institute  of Technology Kanpur,"Earth Sciences (4 Years, Bachelor of Science)",OPEN,neutral,5900,7469,2016,"Indian Institute  of Technology Kanpur_Earth Sciences (4 Years, Bachelor of Science)",106
Indian Institute  of Technology Kanpur,"Economics (4 Years, Bachelor of Science)",OPEN,neutral,1529,2767,2016,"Indian Institute  of Technology Kanpur_Economics (4 Years, Bachelor of Science)",107
Indian Institute  of Technology Kanpur,"Electrical Engineering (4 Years, Bachelor of Technology)",OPEN,neutral,248,798,2016,"Indian Institute  of Technology Kanpur_Electrical Engineering (4 Years, Bachelor of Technology)",108
Indian Institute  of Technology Kanpur,"Materials Science and Engineering (4 Years, Bachelor of Technology)",OPEN,neutral,3030,4148,2016,"Indian Institute  of Technology Kanpur_Materials Science and Engineering (4 Years, Bachelor of Technology)",109
Indian Institute  of Technology Kanpur,"Mathematics and Scientific Computing (4 Years, Bachelor of Science)",OPEN,neutral,528,976,2016,"Indian Institute  of Technology Kanpur_Mathematics and Scientific Computing (4 Years, Bachelor of Science)",110
Indian Institute  of Technology Kanpur,"Mechanical Engineering (4 Years, Bachelor of Technology)",OPEN,neutral,841,1394,2016,"Indian Institute  of Technology Kanpur_Mechanical Engineering (4 Years, Bachelor of Technology)",111
Indian Institute  of Technology Kanpur,"Physics (4 Years, Bachelor of Science)",OPEN,neutral,619,3110,2016,"Indian Institute  of Technology Kanpur_Physics (4 Years, Bachelor of Science)",112
Indian Institute  of Technology Madras,"Aerospace Engineering (4 Years, Bachelor of Technology)",OPEN,neutral,1884,3242,2016,"Indian Institute  of Technology Madras_Aerospace Engineering (4 Years, Bachelor of Technology)",113
Indian Institute  of Technology Madras,"Aerospace Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",OPEN,neutral,2412,3251,2016,"Indian Institute  of Technology Madras_Aerospace Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",114
Indian Institute  of Technology Madras,"Biological Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",OPEN,neutral,2531,6368,2016,"Indian Institute  of Technology Madras_Biological Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",115
